doc_number,document_type,document_date,recipient,author,sent_from,duplicate_incident,initial_entry_line,violence,assailant,victim,location,loc_coordinates,description,incident_date,incident_date_exact,original_status,swjp_page,,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
10,Letter,1763-06-05,S. William Johnson,Jean Baptiste de Couagne,Niagara ,no,,Skirmish,Unknown Indigenous,"Killed, Wendell a Trader, one Servant; Wounded, Brother of Wendell, Van Veghten","""the big River where the Chippeways live""","46.733886, -93.419152","""Six Boats had put ashore at the big River where the Chippeways live, and six or seven of the Crews standing together were fired upon out of the Bushes, which kill'd one Wendell a Trader, Wounded his Brother, and kill'd one of the Servants. Upon this one Van Veghten who was himself Wounded push'd off his Boat, as did likewise one Seager in another Boat, and on the 3d Van Veghten arrived at Little Niagara, and brought us this Account. He further says that after he push'd off, he saw the Indians painted Black and Red standing with the Rest of the people to the number of fourteen, but what the Indians did with them he knows not.""","about 3 o'clock, 06/03/1763",1763-06-03,reprint,134,,46.734851,-93.417383,0.97,rooftop,26538,Grouse St,,,McGregor,MN,Aitkin County,55760,US,Aitkin
10,Letter,1763-06-05,S. William Johnson,Jean Baptiste de Couagne,Niagara ,no,,Skirmish,Unknown Indigenous,Officer and About 100 men,"""near the Detroit River""","42.199875, -83.106007","""An Officer is just come in and Reporrt that he and his party About 100 men was Attack'd by Indians near the Detroit River. Only himself & about 30 or 40 men are Come here.""",,,reprint,135,,42.199875,-83.106007,0.23,nearest_place,,,,,River Canard,ON,,N9V,CA,CanVec+ by Natural Resources Canada
10,Letter,1763-06-06,S. William Johnson,Jean Baptiste de Couagne,Niagara ,yes,14,Skirmish,"""a party of Indians""","""the Queens Independents"" and ""a Serjeant & twenty Men of the 60. Regt.""","""within 25 miles of [Detroit]""","42.329658, -83.047574","""the Queens Independents upon their way to Detroit and a Serjeant & twenty Men of the 60. Regt. within 25 miles of that place at 11 oClock at Night were attacked by a party of Indians and out of 76 of the Independents only 36 Returned here."" Note: Lieutenant Cuyler's detachment, see pg. 138-44 Journal of Pontiac's Conspiracy, 1763, by Burton (Detroit, MI)","11 o'clock, 06/05/1763",1763-06-05,reprint,138,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
11,Letter,1763-06-12,S. William Johnson,Gen. Jeffery Amherst,New York,no,,"Skirmish, military action","""Indians near Fort Pitt""","""the Garrison of the Detroit""",Detroit,"42.329658, -83.047574","""The Last part of the Intelligence seems to be greatly Exaggerated, as I Cannot Entertain a thought that they have been able to Cutt off the Garrison of the Detroit, or any of the Posts where Officers were Stationed.""",,,original,138-139,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
12,Letter,1763-06-15,S. William Johnson,Jean Baptiste de Couagne,Niagara ,no,,"""barbarities""",Unknown Indigenous,,Detroit region,"42.329658, -83.047574","*letter perished in fire, only information from Johnson Calendar*; ""brought news of siege of Detroit by Indians, valiant defense by Major Gladwin, fidelity of the French, and Indian barbarities, and mentioning relief expedition from Niagara""",,,missing,148,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
13,Letter,1763-06-16,S. William Johnson,Gen. Jeffery Amherst,New York,yes,14,Skirmish,Unknown Indigenous,"""a Detachment under the Command of Lieut. Cuyler of Hopkin's Rangers""",Detroit region,"42.329658, -83.047574","""Concerning the Motions of the Indians, that Way, they having Attacked a Detachment under the Command of Lieut. Cuyler of Hopkin's Rangers who were on their Route towards the Detroit and Obliged him to Return to Niagara with (I am Sorry to Say) too few of his men.""",06/05/1763,1763-06-05,reprint,148,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
14,Letter,1763-06-19,Gen. Jeffery Amherst,S. William Johnson,Albany,yes,18,Siege,"""Ottawaes, Chippewaes, and some tribes of the Delawares"" ",Fort Detroit,Detroit,"42.329658, -83.047574","""a Schooner from Detroit with the news of its having been invested 36 days by 500 Indians, tho' to my account says 1600; that the same has been bravely defended, with small loss, with other particulars…Mr. Croghan assures me from the best authority, that the Indians already engaged are the Ottawaes, Chippewaes, and some tribes of the Delawares.""",Since approx. 05/07/1763,1763-05-07,reprint,150,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
15,Letter,1763-06-22,S. William Johnson,Gen. Jeffery Amherst,New York,yes,18,"Siege, Murder","""a Large Body of Indians""","Fort Detroit, individuals ",Detroit,"42.329658, -83.047574","""Received One from Major Gladwin, of the 14th. May, at which time the Detroit was Invested by a Large Body of Indians, who had in their Usual manner, Inhumanely Butchered those of our People who had been so Unfortunate as to Fall into their Hands…The Base & Treacherous manner in which those Savages Murdered Sir Robert Davers, Lieut: Robertson & all their Boats Crew...Immediately Commenced Hostilities, & Attacked the Fort.""",Since approx. 05/07/1763,1763-05-07,reprint,150-151,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
16,Letter,1763-07-01,Lords of Trade,S. William Johnson,Fort Johnson,yes,18,"Siege, Murder","""the Ottawa Indians""","Fort Detroit, individuals ","Detroit region, Ohio Country","42.329658, -83.047574","""the Misisaga's and Chipeweghs (who I am well informed have been greatly encouraged thereto by some Officers sent amongst them from the Govr. of New Orleans) have lately endeavored to surprize the Detroit, and now closely blockade the same, they have likewise totally defeated a Detachment of 100 men who were on their way from Niagara for that place with a large quantity of provisions which has fallen into their hands. The Fort at Sandousky on Lake Erie has likewise been taken & destroyed and 'tis apprehended all the other outposts together with their garrisons have shared the same fate, Whilst in the mean time some Delawares on the Ohio have infested the communication to Fort Pitt &c. destroyed several settlements, murdered many Traders and others, spreading an universal pannic throughout the Frontiers.""",Since approx. 05/07/1763,1763-05-07,reprint,164,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
17,Letter,1763-07-08,Gen. Jeffery Amherst,S. William Johnson,Johnson Hall,yes,21,Siege,"""a large body of Senecas""",the Garrison of Fort Venango,Fort Venango,"41.38932, -79.82217","""Yesterday I received an account from the Mohawks who were all at my house, that the Oneidas had sent to acquant them at Canajoharie, that the Garrison at Venango has been cut off.""",06/18/1763,1763-06-08,reprint,165,,41.389479,-79.822201,1,rooftop,802,Elk St,,,Franklin,PA,Venango County,16323,US,Venango
18,Letter,1763-07-09,S. William Johnson,Gen. Jeffery Amherst,New York,no,,Siege,Unknown Indigenous,The Garrison of Fort Presque Isle,Fort Presque Isle,"42.137085, -80.079374","""I Wrote you the 7th. Instant, Acquainting you of the Intelligence I had Received from Fort Pitt of the Loss of Presqu' Isle, &ca.; And Since then I have had Nothing New from that Quarter.""",06/22/1763,1763-06-22,reprint,167,,42.137069,-80.079322,1,rooftop,117,Parade St,,,Erie,PA,Erie County,16507,US,Erie
20,Letter,1763-07-11,Gen. Jeffery Amherst,S. William Johnson,Johnson Hall,yes,21,Siege,"""a party of Chenussios""",The Garrison at Fort Venango,Fort Venango,"41.38932, -79.82217","""Since my last, a number of the Oneidas arrived here, and acquainted me with the manner in which Venango had been surprised, which was effected by the Indians entering the Fort as friends, after which they put the garrison to the sword…that after putting the Garrison to the Sword, they made the Officer write the reasons which induced them to act as they had done...After writing this, they put the Officer to death, and sent the paper with a party of Warriors then going towards Fort Pitt.""",06/18/1763,1763-06-18,reprint,169,,41.389479,-79.822201,1,rooftop,802,Elk St,,,Franklin,PA,Venango County,16323,US,Venango
21,Letter,1763-07-13,Cadwallader Colden,S. William Johnson,Johnson Hall,yes,21,Siege,The Senecas,The Garrison at Fort Venango,Fort Venango,"41.38932, -79.82217","""The Senecas (who have long been much under the French direction, from their vicinity to Niagra &ca.) and of whose attachment to us I long doubted, have at length declared themselves against us, as I lately heard, and have taken Venango Fort.""",06/18/1763,1763-06-18,original,171,,41.389479,-79.822201,1,rooftop,802,Elk St,,,Franklin,PA,Venango County,16323,US,Venango
22,Letter,1763-08-02,George Croghan,Alexander McKee,Fort Pitt,no,,attack,Unknown Indigenous,the garrison at fort pitt,Fort Pitt,"40.44064, -80.00957","""the messenger between them, John Hudson, has been detained by Indians, and mentioning an ineffectual attack by savages on Fort Pitt""",,,missing,180,,40.440644,-80.009644,1,rooftop,601,Commonwealth Pl,,,Pittsburgh,PA,Allegheny County,15222,US,Allegheny
23,Journal,1763-08-08,S. William Johnson,Robert Rogers,Detroit,yes,18,"Siege, Murder",Unknown Indigenous,"The garrison at Fort Detroit, individuals",Fort Detroit,"42.329658, -83.047574","""Unluckily three Soldiers were on the Island and a poor Man with his Wife and four Children which they all murdered except two Children, as also a poor Woman and her two Sons, that lived about half a Mile from the Fort…and likewise of their having murdered Sir Robert Davers, Captain Roberston and a Boats' Crew of six Persons...On Tuesday the 10th, very early in the Morning, the Savages began to fire on the Fort, and Vessels which lay opposite to the east and west Sides of the Fort...This Morning Pondiac being inform'd that the Scooner was on Ground, Forc'd Capt. Campbelle to cross the River with him.""",Since approx. 05/07/1763,1763-05-07,reprint,182,"*in Siege of Detroit, ed. Hough",42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
23,Journal,1763-08-08,S. William Johnson,Robert Rogers,Detroit,no,,"Siege, Murder",Unknown Indigenous,"The garrison at Fort Sandusky, individuals",Fort Sandusky,"41.435464, -82.867187","""Upon the 22nd we were told that Ensign Paully who commanded at Sandusky was brought Prisoner by ten Tawas, who reported that they had prevailed after long Consultation with the Waindotes who lived at Sandusky to declare War against us; that some Days ago they came early of a Morning to the Block House, and murdered every Soul therein...and that they had taken one hundred Horses loaded with Indian Goods, which with the Plunder of the Garrison was agreed to be given the Waindotes before they condescended to join them.""",Approx. 05/22/1763,1763-05-22,reprint,182,"""",41.435233,-82.866597,0.99,rooftop,6006,Wahl Rd,,,Vickery,OH,Erie County,43464,US,Erie
23,Journal,1763-08-08,S. William Johnson,Robert Rogers,Detroit,yes,14,Skirmish,Unknown Indigenous,Relief expedition under Lieutenant Cuyler,"""near mouth of Detroit river""","42.199875, -83.106007","""upon which Lieutenant Cuyler immediately ordered to give Ammunition to the Detachment…After having delivered their Ammunition, and a Disposition made of the Men, the Enemy came close to them without being observed, behind a Bank and fired very smartly on one Flank which could not sustain the Enemys Fire and they retired precipitately and threw the Whole in Confusion...the Savages [took] them all except the two Battoes that escaped with Mr. Cuyler to Niagara.""",06/05/1763,1763-06-05,reprint,182,"""",42.199875,-83.106007,0.23,nearest_place,,,,,River Canard,ON,,N9V,CA,CanVec+ by Natural Resources Canada
23,Journal,1763-08-08,S. William Johnson,Robert Rogers,Detroit,no,,"Siege, Murder",Unknown Indigenous,The garrison at St. Joseph's ,St Joseph's,"41.813611, -86.262222","""On the 10th of June we heard that Ensign Schloffer the Commanding Officer at Saint Josephs was taken Prisoner and that all the Garrison (except three Men) were massacred. That the Indians came on the 25th of May with a Pretence to Council, and as soon as the Chiefs had shaken Hands with Mr. Schloffer, they seized on him, gave a Shriek and instantly killed ten Men.""",Approx. 06/10/1763,1763-06-10,reprint,182,"""",41.812532,-86.260724,0.93,nearest_street,1,Ft St,,,Niles,MI,Berrien County,49120,US,TIGER/Line® dataset from the US Census Bureau
23,Journal,1763-08-08,S. William Johnson,Robert Rogers,Detroit,yes,26,Murder,"Wassong [Chippewa], Unknown Indigenous",Captain Campbell,Detroit,"42.329658, -83.047574","""Half an Hour after the Savages carried the Man they had lost before Captain Campbell, striped him naked, and directly murdered him in a cruel Manner, which indeed gives one Pain beyond Expression, and I am sure cannot miss but to affect sensibly all his Acquaintences, although he is now out of the Question.""",Approx. 07/04/1763,1763-07-04,reprint,182,"""",42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
24,Intelligence Report,1763-08-14,Gen. Jeffery Amherst,Thomas Baugh,New York,no,,Hostilities ,"""Six Strange Indians"" (allegedly Six Nations)","Unknown Indigenous, Various Settlements","Green Briar, Calve Creek, Round Oak, New River","37.795726, -79.996352","""after Being Five, or Six Weeks, at these places, abovementioned [Green Briar & Jackson's River]; they Decamped & Moved Nearer the Cherokee Country, About 20 Miles to a place Called Dunlap's Creek. Where they again Encamped. That they Continued there about a Fortnight; When Six Strange Indians, Came to Green Briar, as if Endeavoring to Overtake the great Party; Where Hearing they had got no further than Dunlap's Creek, They Exprest great Surprise, Set out Immediately & that soon after, those Six Were Supposed to Joyn the Seventy Eight, Hostilities Commenced at Green Briar, Calve Creek, Round Oak, & New River, Which was Concluded to be Committed by those Indians, who had been so long in the Neighborhood part of Whom were Supposed & Believed by the People of the Country to be of the Six Nations Some of them advised the Inhabitants to Move off Else the Shawnese would come & Destroy them."" ",Approx. 07/16/1763,1763-07-16,reprint,190,,0,0,0,,,,,,,,,,,
25,Letter,1763-08-23,S. William Johnson,Cap. Jacob Klock,Conajoharie,no,,"""Abuse and violence""",Unknown,Four sergeants ,Conajoharie,"42.906111, -74.571944","""relating story of abuse and violence inflicted on his four sergeants sent to enforce a fine against George Klock's son""",,,missing,194,,42.90609,-74.571719,1,rooftop,60,Church St,,,Canajoharie,NY,Montgomery County,13317,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
26,Intelligence Report,1763-08-24,,Jean Baptiste de Couagne,Niagara ,yes,33,Skirmish,Unknown Indigenous,Captain Duel (Dalyell) and his command ,Detroit,"42.329658, -83.047574","""Intelligence dated the 24th from De Couagne, at Niagara, of arrival of Captain Duel (Dalyell) and his command at Detroit, an engagement outside the fort in which Duel was killed and Captain Gray and Lieutenant Brown were wounded, English loss being about 30, arrival of 70 men from the 46th, and reported defection of the Senneckees""",,,missing,194-95,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
27,Letter,1763-08-27,S. William Johnson,Gen. Jeffery Amherst,New York,no,,Battle,Unknown Indigenous,Colonel Bouquet and army,Bushy Run,"40.355278, -79.62","""I had the satisfaction to receive letters from Colonel Bouquet acquainting me of his arrival at Fort Pitt on the 10th instant; having on the 5th and 6th been attacked by a very large body of Indians near Bushy Run, engaged them from noon to night, the first day, our men keeping their ground and always driving off the Savages; but came back at night to cover the provisions and the wounded. The next day the Indians surrounded our little army and advanced to the attack very furiously, but Colonel Bouquet had made such a disposition to receive them, and the behavior of the troops was so firm and resolute, that the Savages gave way, had not the courage to support their attempt, and were pursued for a considerable distance with great slaughter. Captain Basset who brought me Col: Bouquet's dispatches and was present in both actions assures me that there were at least 50 or 60 Indians slain and a great many wounded in the pursuit.""",08/05/1763 and 08/06/1763,1763-08-06,reprint,195,,40.355389,-79.619208,0.99,rooftop,1320,Bushy Run Rd,,,Jeannette,PA,Westmoreland County,15644,US,Westmoreland
28,Letter,1763-08-31,Gen. Jeffery Amherst,S. William Johnson,Johnson Hall,yes,33,Skirmish,Unknown Indigenous,Captain Dalyell,Bloody Bridge,"42.347222, -83.018611","""I received a Letter from Detroit with an Account of an Action between His Majesty's Troops & the Enemy Indians, in which Captain Dalyell with Several Men were killed, & some Officers &ca. Wounded, with the particulars of which, Your Excellency will I presume, be Acquainted with before this reaches You. I am heartily Sorry for the Loss of Captain Dalyell, whom I Looked upon as a good Officer; & am Equally concerned that the Engagement was not Attended with Success, which was probably owing to the Smallness of our Force, & the Advantagious Situation of the Enemy.""",07/31/1763,1763-07-31,reprint,196-97,,42.34673,-83.019358,0.99,rooftop,1336,Village Dr,,,Detroit,MI,Wayne County,48207,US,Semcog
29,Letter,1763-09-02,John Stewart,S. William Johnson,Johnson Hall,yes,33,Skirmish,Unknown Indigenous,Captain Dalyell,Bloody Bridge,"42.347222, -83.018611","""to John Stewart, superintendent of southern Indian affairs…mentioning English repulse and death of Captain Dalyell in forcing entrenchment near Detroit (action of Bloody Bridge)""",07/31/1763,1763-07-31,missing,199,,42.34673,-83.019358,0.99,rooftop,1336,Village Dr,,,Detroit,MI,Wayne County,48207,US,Semcog
30,Letter,1763-09-08,S. William Johnson,Major Alexander Duncan,Fort Ontario,yes,33,Skirmish,Unknown Indigenous,Captain Dalyell,Bloody Bridge,"42.347222, -83.018611","""recommending a gardener, reporting the death of Captain Dalyell…""",07/31/1763,1763-07-31,missing,200,,42.34673,-83.019358,0.99,rooftop,1336,Village Dr,,,Detroit,MI,Wayne County,48207,US,Semcog
31,Letter,1763-09-08,S. William Johnson,Jean Baptiste de Couagne,Niagara ,no,,Skirmish,Unknown Indigenous,"""men landed from the lost sloop""","""20 miles up Lake Erie""","38.998211, -72.224698","""notifying of engagement on Lake Erie shore between Indians and men landed from the lost sloop"" ",,,missing,200,,0,0,0,,,,,,,,,,,
32,Letter,1763-09-09,S. William Johnson,Collin Andrews,"Cat Fish Creeck (""14 Mills in Leak Eria"")",no,,Skirmish,Unknown Indigenous,Unknown,,"38.998211, -72.224698","""mentioning action with party of Indians, believed to be Cenices (Senecas)""",,,missing,200,,0,0,0,,,,,,,,,,,
33,Letter,1763-09-09,S. William Johnson,Gen. Jeffery Amherst,New York,yes,33,Skirmish,Unknown Indigenous,Captain Dalyell,Bloody Bridge,"42.347222, -83.018611","""You will have heard of the Unfortunate fate of poor Dalyell; The Affair in other respects is but trifling, for the Indians must have lost some men, which they will feel as much as we can, for the few that were killed of ours. I most sensibly lament the death of CAptain Dalyell, for he was a brave Officer and a worthy man.""",07/31/1763,1763-07-31,reprint,201,,42.34673,-83.019358,0.99,rooftop,1336,Village Dr,,,Detroit,MI,Wayne County,48207,US,Semcog
34,Letter,1763-09-25,Lords of Trade,S. William Johnson,Johnson Hall,yes,41,Skirmish,"""Senecas of Chenussio""","""an Officer and 24 Men…two Companys of Coll: Willmot's Regt.""","""the carrying place at Niagra"" [ambuscade of the Devil's Hole]","43.135, -79.046","""an Officer and 24 Men, who were escorting several waggons and Ox Teams over the carrying place at Niagra, had been attacked and entiretly defeated, together with two Companys of Coll: Willmot's Regt. Who marched to sustain them. Our loss on this occasion consists of Lieutts. Campbell, Frazier and Rosco of the Regulars, Capts. Johnson and Lieutt. Deayton of the Provincials, and 60 privates killed, with about 8 or nine wounded; the Enemy who are supposed to be Senecas of Chenussio, scalped all the dead, took all their cloaths, arms amunition, and threw several of their bodies down a precipice.""",09/14/1763,1763-09-14,reprint,208,,43.133849,-79.04331,0.96,rooftop,390,Roosevelt Ave,,,Niagara Falls,NY,Niagara County,14305,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
35,Letter,1763-10-01,S. William Johnson,Major Alexander Duncan,Fort Ontario,no,,Skirmish,Unknown Indigenous,"""the schooner going up the Detroit river""",Detroit River,"42.199875, -83.106007","""repeating intelligence received from Major Moncrieff…reporting a repulse of the savages in an attack on the schooner going up the Detroit river""",,,missing,212,,42.199875,-83.106007,0.23,nearest_place,,,,,River Canard,ON,,N9V,CA,CanVec+ by Natural Resources Canada
36,Letter,1763-10-04,S. William Johnson,Thomas Moncrieffe,Camp at the Landing Place of Niagara,yes,41,skirmish,"""Senecas of Chenussio""","""an Officer and 24 Men…two Companys of Coll: Willmot's Regt.""","""the carrying place at Niagra"" [ambuscade of the Devil's Hole]","43.135, -79.046","""It Gives me Concern to think, how much Sr. Jeffery is Disappointed in the Expected Operations this fall. The Loss of the sloop, with the Disaster on the Carrying Place the 14th Ult. Has Greatly Retarded the Necessary Supplys being Sent to Detroit.""",09/14/1763,1763-09-14,original,212-213,,43.133849,-79.04331,0.96,rooftop,390,Roosevelt Ave,,,Niagara Falls,NY,Niagara County,14305,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
37,Letter,1763-10-19,S. William Johnson,David Van Der Heyden,,no,,"""destruction""",Unknown,"""about 60 families along the Delaware""",Delaware River,"42.453333, -74.607222","""from Lieutenant Colonel David Van Der Heyden, communicating a rumor that about 60 families along the Delaware have been destroyed""",,,missing,219,,42.454754,-74.60826,0.97,rooftop,213,Higgins Rd,,,Stamford,NY,Schoharie County,12167,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
38,Letter,1763-10-25,S. William Johnson,John Campbell,Fort Stanwix,no,,"""Tomahawked""",Unknown Indigenous,"""inhabitants"" on the Ohio",Ohio River,"40.153560, -80.693118","""The following intellegence got from an Indian named Nickas an Oneida Chief, which I thought proper to acquaint You with…that he heard about Six days ago a Party of Indians on the Ohio, had Tomahawked, a great Number of inhabitants that were removing from their Plantations.""",Approx. 10/19/1763,1763-10-19,reprint,220,,40.151499,-80.695663,0.95,rooftop,104,Lilac Ln,,,Wheeling,WV,Ohio County,26003,US,Statewide WV
39,Letter,1763-11-05,S. William Johnson,Captain Gavin Cochrane,Fort Johnson,no,,Skirmish,Unknown Indigenous,"Captain Daniel and Jacob, Mohawks",,"38.998211, -72.224698","""commending the behavior of Captain Daniel and Jacob, Mohawks, reporting an engagement in which they took part""",,,missing,232,,0,0,0,,,,,,,,,,,
39,Letter,1763-11-05,S. William Johnson,Captain Gavin Cochrane,Fort Johnson,no,,Skirmish ,Unknown Indigenous,Major Wilkins' detachment,"""the Niagara rapids""","43.120783, -79.069891","""repeating an account of an action, October 20, near the Niagara rapids between Major Wilkins' detachment and the savages"" ",10/20/1763,1763-10-20,missing,232,,43.123014,-79.068424,0.96,rooftop,3500,Niagara River Pkwy,,,Niagara Falls,ON,,L2J,CA,City of Niagara Falls
40,Letter,1763-12-15,S. William Johnson,George Croghan,Philadelphia,yes,48,Murder,"""the people of Lancaster""","""Gunestoga Indians"" [Conestoga] ",Conestoga Town,"39.95984, -76.4004","""the reported murder of Gunestoga Indians by the people of Lancaster""",,,missing,272,,39.960134,-76.400379,0.99,rooftop,2940,Safe Harbor Rd,,,Millersville,PA,Lancaster County,17551,US,Lancaster
41,Letter,1763-12-31,S. William Johnson,John Penn,Philadelphia,yes,48,Murder,"""Number of the Inhabitants on the Western frontier""",Conestoga Indians,Conestoga Town,"39.95984, -76.4004","""that on the [14th     ] Number of the Inhabitants on the Western frontier [     ] without any Authority, assembled in Arms, and pro[     ] Party of between fifty & Sixty Men to the Indian Town [     ] Conestogo Manor in Lancaster County, & there without the [     ] cruelly put to Death six of the friendly Indians, who had [peaceably] & inoffensively resided there for many Years past, by Permiss[ion] from this Government; and, after burning & destroying their [     ] & Effects, precipitately retired...these daring Rioters on the 27th. Instant again assembled in Arms, and came down in a large Body to the Town of Lancaster; broke open the Work House and Murdered fourteen of the Conestogo Indians, who had before escaped their Fury, & were confined there, by the Magistrates, for their Security.""",12/14/1763 and 12/27/1763,1763-12-14,original,284,,39.960134,-76.400379,0.99,rooftop,2940,Safe Harbor Rd,,,Millersville,PA,Lancaster County,17551,US,Lancaster
42,Letter,1764-01-16,S. William Johnson,John Stuart,Charles Town,no,,Murder,Creeks,Unknown,,"38.998211, -72.224698","""A letter of the 16th from John Stuart (Indian agent), at Charles Town, about murders committed by the Creeks, their plea, and conflicting policies of colonial governors.""",,,missing,297,,0,0,0,,,,,,,,,,,
43,Letter,1764-01-20,John Penn,S. William Johnson,Johnson Hall,yes,48,Murder,"""the murderers of the Conestoga Indians""",Conestoga Indians,Conestoga Town,"39.95984, -76.4004","""A letter of the 20th to Lieutenant Governor John Penn, approving measures taken for punishing the murderers of the Conestoga Indians, discussing the effect of the crime on Indian sentiment and pointing out the only policy which will remove Indian disaffection""",12/14/1763 and 12/27/1763,1763-12-14,missing,299,,39.960134,-76.400379,0.99,rooftop,2940,Safe Harbor Rd,,,Millersville,PA,Lancaster County,17551,US,Lancaster
